,,BRACBANK,BRAC Bank PLC.,
,,DUTCHBANGL,Dutch-Bangla Bank PLC.,
,,EASTERNINS,Eastern Insurance Company Ltd.,
,,PTL,Paramount Textile PLC.,
,,ISLAMIBANK,Islami Bank Bangladesh PLC.,
,,PIONEERINS,Pioneer Insurance Company Ltd.,
,,MATINSPINN,Matin Spinning Mills PLC,
,,CROWNCEMNT,Crown Cement PLC.,
,,MEGHNACEM,Meghna Cement Mills PLC.,
,,CITYGENINS,City Insurance PLC.,
,,UNIQUEHRL,Unique Hotel & Resorts PLC,
,,CENTRALINS,Central Insurance Company Ltd.,
,,HAKKANIPUL,Hakkani Pulp & Paper Mills Ltd.,
,,SIPLC,Sena Insurance PLC,
,,BNICL,Bangladesh National Insurance Company Limited,
,,PARAMOUNT,Paramount Insurance PLC.,
,,HWAWELLTEX,Hwa Well Textiles (BD) PLC.,
,,ISLAMIINS,Islami Insurance Bangladesh Limited,
,,POWERGRID,Power Grid Company of Bangladesh Ltd.,
,,ENVOYTEX,Envoy Textiles Limited,
,,DBH,DBH Finance PLC.,
,,DHAKAINS,Dhaka Insurance Limited,
,,SINOBANGLA,Sinobangla Industries Ltd.,
,,PROGRESLIF,Progressive Life Insurance Co. Ltd.,
,,CLICL,Chartered Life Insurance Company Limited,
,,ORIONPHARM,Orion Pharma Ltd.,
,,TECHNODRUG,Techno Drugs Ltd.,
,,UNITEDINS,United Insurance Company Ltd.,
,,PRIMEINSUR,Prime Insurance Company Ltd.,
,,AFTABAUTO,Aftab Automobiles Limited,
,,ITC,IT Consultants PLC.,
,,ASIATICLAB,Asiatic Laboratories Limited,
,,KDSALTD,KDS Accessories Limited,
,,USMANIAGL,Usmania Glass Sheet Factory Limited,
,,SEAPEARL,Sea Pearl Beach Resort & Spa Limited,
,,ISNLTD,Information Services Network Ltd.,
,,TILIL,Trust Islami Life Insurance Limited,
,,TAKAFULINS,Takaful Islami Insurance Limited,
,,SPCL,Shahjibazar Power Co. Ltd.,
,,1STPRIMFMF,Prime Finance First Mutual Fund,
,,BGIC,Bangladesh General Insurance Company PLC.,
,,PROVATIINS,Provati Insurance Company Limited,
,,PEOPLESINS,Peoples Insurance Company Ltd.,
,,HRTEX,H.R.Textile Ltd.,
,,MIRAKHTER,Mir Akhter Hossain Limited,
,,FAREASTLIF,Fareast Islami Life Insurance Co. Ltd.,
,,STANDARINS,Standard Insurance Limited,
,,IDLC,IDLC Finance PLC.,
,,NPOLYMER,National Polymer Industries PLC.,
,,PRIMELIFE,Prime Islami Life Insurance Ltd.,
,,ASIAPACINS,Asia Pacific General Insurance Co. Ltd.,
,,KARNAPHULI,Karnaphuli Insurance PLC,
,,ASIAINS,Asia Insurance PLC.,
,,BPML,Bashundhara Paper Mills Limited,
,,REPUBLIC,Republic Insurance Company Limited,
,,MIDLANDBNK,Midland Bank PLC.,
,,QUASEMIND,Quasem Industries Ltd.,
,,GENEXIL,Genex Infosys PLC,
,,NORTHRNINS,Northern Islami Insurance Limited,
,,MIRACLEIND,Miracle Industries Ltd.,
,,JANATAINS,Janata Insurance PLC,
,,SONARGAON,Sonargaon Textiles Ltd.,
,,MEGHNAINS,Meghna Insurance Company Limited,
,,PUBALIBANK,Pubali Bank PLC.,
,,AAMRANET,aamra networks limited,
,,RUNNERAUTO,Runner Automobiles PLC,
,,NHFIL,National Housing Finance PLC,
,,SONARBAINS,Sonar Bangla Insurance Ltd.,
,,NITOLINS,Nitol Insurance Co. Ltd.,
,,ROBI,Robi Axiata PLC.,
,,UNIONINS,Union Insurance Company Limited,
,,PHENIXINS,Phoenix Insurance Company Ltd.,
,,DOREENPWR,Doreen Power Generations and Systems Limited,
,,OIMEX,Oimex Electrode Limited,
,,AGRANINS,Agrani Insurance Co. Ltd.,
,,CONTININS,Continental Insurance PLC.,
,,SALVOCHEM,Salvo Chemical Industry Limited,
,,MERCINS,Mercantile Islami Insurance PLC,
,,MEGHNAPET,Meghna Pet Industries Ltd.,
,,EGEN,eGeneration PLC.,
,,MEGCONMILK,Meghna Condensed Milk Industries Ltd.,
,,MALEKSPIN,Malek Spinning Mills PLC.,
,,AGNISYSL,Agni Systems Ltd.,
,,AMANFEED,Aman Feed Limited,
,,EMERALDOIL,Emerald Oil Industries Ltd.,
,,GLOBALINS,Global Insurance Limited,
,,DGIC,Desh General Insurance Company Limited,
,,EBL,Eastern Bank PLC.,
,,RDFOOD,Rangpur Dairy & Food Products Ltd.,
,,BDCOM,BDCOM Online Ltd.,
,,PRIMEBANK,Prime Bank PLC.,
,,SAPORTL,Summit Alliance Port Limited,
,,ANLIMAYARN,Anlimayarn Dyeing Ltd.,
,,RAKCERAMIC,RAK Ceramics (Bangladesh) Limited,
,,RUPALIINS,Rupali Insurance Company Ltd.,
,,ICICL,Islami Commercial Insurance Company Limited,
,,TRUSTBANK,Trust Bank PLC.,
,,UTTARABANK,Uttara Bank PLC.,
,,CITYBANK,City Bank PLC.,
,,NAVANACNG,Navana CNG Limited,
,,NAHEEACP,Nahee Aluminum Composite Panel PLC.,
,,INTRACO,Intraco Refueling Station Limited,
,,GHCL,Global Heavy Chemicals Limited,
,,IFADAUTOS,IFAD Autos PLC.,
,,SICL,Sikder Insurance Company Limited,
,,RUPALIBANK,Rupali Bank PLC.,
,,GPHISPAT,GPH Ispat Ltd.,
,,DESCO,Dhaka Electric Supply Company Ltd.,
,,TITASGAS,Titas Gas Transmission & Dist. Co. Ltd.,
,,ALARABANK,Al-Arafah Islami Bank PLC.,
,,SANDHANINS,Sandhani Life Insurance Company Ltd.,
,,ESQUIRENIT,Esquire Knit Composite PLC,
,,PURABIGEN,Purabi Gen. Insurance Company Ltd.,
,,IPDC,IPDC Finance PLC.,
,,RELIANCE1,Reliance One the first scheme of Reliance Insurance Mutual Fund,
,,JAMUNABANK,Jamuna Bank PLC.,
,,SHASHADNIM,Shasha Denims Limited,
,,EASTLAND,Eastland Insurance PLC.,
,,ACFL,Aman Cotton Fibrous Limited,
,,AAMRATECH,aamra technologies limited,
,,LANKABAFIN,LankaBangla Finance PLC.,
,,FEKDIL,Far East Knitting & Dyeing Industries Limited,
,,BENGALWTL,Bengal Windsor Thermoplastics PLC.,
,,TOSRIFA,Tosrifa Industries Limited,
,,DESHBANDHU,Deshbandhu Polymer Limited,
,,BESTHLDNG,Best Holdings Limited,
,,FEDERALINS,Federal Insurance Company Ltd.,
,,SIMTEX,Simtex Industries Limited,
,,BBSCABLES,BBS Cables PLC.,
,,INTECH,Intech Limited,
,,FARCHEM,Far Chemical Industries Limited,
,,SHAHJABANK,Shahjalal Islami Bank PLC.,
,,COPPERTECH,Coppertech Industries Limited,
,,MONNOFABR,Monno Fabrics Limited,
,,ARGONDENIM,Argon Denims Limited,
,,PADMALIFE,Padma Islami Life Insurance Limited,
,,SHARPIND,Sharp Industries PLC,
,,BANKASIA,Bank Asia PLC.,
,,ADVENT,Advent Pharma Limited,
,,FORTUNE,Fortune Shoes Limited,
,,AOL,Associated Oxygen Limited,
,,SILCOPHL,Silco Pharmaceuticals Limited,
,,SAIHAMTEX,Saiham Textile Mills Ltd.,
,,SAIHAMCOT,Saiham Cotton Mills Limited,
,,UTTARAFIN,Uttara Finance and Investments Limited,
,,SHEPHERD,Shepherd Industries PLC,
,,SUMITPOWER,Summit Power Limited,
,,BDTHAIFOOD,BD Thai Food & Beverage Limited,
,,MHSML,Mozaffar Hossain Spinning Mills Ltd.,
,,LRBDL,Lub-rref (Bangladesh) Limited,
,,MITHUNKNIT,Mithun Knitting and Dyeing Ltd.,
,,UNITEDFIN,United Finance PLC.,
,,SKTRIMS,SK Trims & Industries Limited,
,,FUWANGFOOD,Fu Wang Food Ltd.,
,,SAIFPOWER,SAIF Powertec Limited,
,,QUEENSOUTH,Queen South Textile Mills Limited,
,,FUWANGCER,Fu-Wang Ceramic Industries Ltd.,
,,ACMEPL,ACME Pesticides Limited,
,,PRIMETEX,Prime Textile Spinning Mills Limited,
,,GRAMEENS2,Grameen One ,
,,NRBBANK,NRB Bank PLC.,
,,SPCERAMICS,Shinepukur Ceramics Limited,
,,DACCADYE,The Dacca Dyeing & Manufacturing Co.Ltd.,
,,BDFINANCE,Bangladesh Finance Limited,
,,ARAMITCEM,Aramit Cement Limited,
,,KPCL,Khulna Power Company Limited,
,,DOMINAGE,Dominage Steel Building Systems Limited,
,,METROSPIN,Metro Spinning Ltd.,
,,SALAMCRST,S. Alam Cold Rolled Steels Ltd.,
,,MTB,Mutual Trust Bank PLC.,
,,DSSL,Dragon Sweater and Spinning Limited,
,,ISLAMICFIN,Islamic Finance & Investment PLC.,
,,DHAKABANK,Dhaka Bank PLC.,
,,NCCBANK,National Credit and Commerce Bank PLC.,
,,PENINSULA,The Peninsula Chittagong PLC,
,,BDWELDING,Bangladesh Welding Electrodes Ltd.,
,,BPPL,Baraka Patenga Power Limited,
,,SILVAPHL,Silva Pharmaceuticals Limited,
,,BBS,Bangladesh Building Systems PLC.,
,,BARKAPOWER,Baraka Power Limited,
,,GHAIL,Golden Harvest Agro Industries Ltd.,
,,MERCANBANK,Mercantile Bank PLC.,
,,ETL,Evince Textiles Limited,
,,SAFKOSPINN,Safko Spinnings Mills Ltd.,
,,ALLTEX,Alltex Industries Ltd.,
,,HFL,Hamid Fabrics PLC,
,,RSRMSTEEL,Ratanpur Steel Re-Rolling Mills Limited,
,,KTL,Kattali Textile Limited,
,,GLDNJMF,ICB AMCL CMSF Golden Jubilee Mutual Fund,
,,UCB,United Commercial Bank PLC,
,,AFCAGRO,AFC Agro Biotech Ltd.,
,,MLDYEING,M.L. Dyeing Limited,
,,BIFC,Bangladesh Industrial Fin. Co. Ltd.,
,,PREMIERBAN,The Premier Bank PLC.,
,,CAPMIBBLMF,CAPM IBBL Islamic Mutual Fund,
,,IBP,Indo-Bangla Pharmaceuticals Limited,
,,SIBL,Social Islami Bank PLC.,
,,SSSTEEL,S. S. Steel Limited,
,,CAPITECGBF,Capitec Grameen Bank Growth Fund,
,,CENTRALPHL,Central Pharmaceuticals Limited,
,,NRBCBANK,NRBC Bank PLC.,
,,SOUTHEASTB,Southeast Bank PLC,
,,YPL,Yeakin Polymer Limited,
,,NFML,National Feed Mill Limited,
,,NEWLINE,New Line Clothings Limited,
,,MIDASFIN,MIDAS Financing PLC.,
,,KPPL,Khulna Printing & Packaging Limited,
,,ACTIVEFINE,Active Fine Chemicals Limited,
,,ABBANK,AB Bank PLC.,
,,SBACBANK,SBAC Bank PLC.,
,,EXIMBANK,Export Import (Exim) Bank of Bangladesh PLC.,
,,VFSTDL,VFS Thread Dyeing Limited,
,,IFIC,IFIC Bank PLC,
,,BAYLEASING,Bay Leasing & Investment Limited,
,,ALIF,Alif Manufacturing Company Ltd.,
,,ICBAGRANI1,ICB AMCL First Agrani Bank Mutual Fund,
,,MAKSONSPIN,Maksons Spinning Mills PLC.,
,,GBBPOWER,GBB Power Ltd.,
,,OAL,Olympic Accessories Limited,
,,PDL,Pacific Denims Limited,
,,AIBL1STIMF,AIBL 1st Islamic Mutual Fund,
,,WMSHIPYARD,Western Marine Shipyard Limited,
,,SHURWID,Shurwid Industries Limited,
,,ZAHEENSPIN,Zaheen Spinning PLC.,
,,SEMLIBBLSF,SEML IBBL Shariah Fund,
,,UNIONCAP,Union Capital Limited,
,,ICBSONALI1,ICB AMCL Sonali Bank Limited 1st Mutual Fund,
,,ATCSLGF,Asian Tiger Sandhani Life Growth Fund,
,,STANDBANKL,Standard Bank PLC.,
,,ICBAMCL2ND,ICB AMCL Second Mutual Fund,
,,SEMLLECMF,SEML Lecture Equity Management Fund,
,,CAPMBDBLMF,CAPM BDBL Mutual Fund 01,
,,GSPFINANCE,GSP Finance Company (Bangladesh) Limited,
,,FIRSTSBANK,First Security Islami Bank PLC.,
,,PF1STMF,Phoenix Finance 1st Mutual Fund,
,,KEYACOSMET,Keya Cosmetics Ltd.,
,,VAMLBDMF1,Vanguard AML BD Finance Mutual Fund One,
,,ICBEPMF1S1,ICB Employees Provident MF 1,
,,NBL,National Bank Ltd.,
,,CNATEX,C & A Textiles Limited,
,,NCCBLMF1,NCCBL Mutual Fund-1,
,,ZAHINTEX,Zahintex Industries Limited,
,,PRIME1ICBA,Prime Bank 1st ICB AMCL Mutual Fund,
,,GIB,Global Islami Bank PLC,
,,VAMLRBBF,Vanguard AML Rupali Bank Balanced Fund,
,,UNIONBANK,Union Bank PLC.,
,,TALLUSPIN,Tallu Spinning Mills Ltd.,
,,SEMLFBSLGF,SEML FBLSL Growth Fund,
,,ICB3RDNRB,ICB AMCL Third NRB Mutual Fund,
,,DELTASPINN,Delta Spinners Ltd.,
,,IFILISLMF1,IFIL Islamic Mutual Fund-1,
,,PRIMEFIN,Prime Finance & Investment Ltd.,
,,DBH1STMF,DBH First Mutual Fund,
,,RINGSHINE,Ring Shine Textiles Limited,
,,MBL1STMF,MBL 1st Mutual Fund,
,,EBL1STMF,EBL First Mutual Fund,
,,GENNEXT,Generation Next Fashions Limited,
,,PHOENIXFIN,Phoenix Finance and Investments Ltd.,
,,NURANI,Nurani Dyeing & Sweater Limited,
,,APOLOISPAT,Appollo Ispat Complex Limited,
,,REGENTTEX,Regent Textile Mills Limited,
,,EBLNRBMF,EBL NRB Mutual Fund,
,,FAREASTFIN,Fareast Finance & Investment Limited,
,,ILFSL,International Leasing & Financial Services Ltd.,
,,TRUSTB1MF,Trust Bank 1st Mutual Fund,
,,LRGLOBMF1,LR Global Bangladesh Mutual Fund One,
,,ABB1STMF,AB Bank 1st Mutual fund,
,,GREENDELMF,Green Delta Mutual Fund,
,,PHPMF1,PHP First Mutual Fund,
,,PREMIERLEA,Premier Leasing & Finance Limited,
,,IFIC1STMF,IFIC Bank 1st Mutual Fund,
,,FBFIF,First Bangladesh Fixed Income Fund,
,,1JANATAMF,First Janata Bank Mutual Fund,
,,EXIM1STMF,EXIM Bank 1st Mutual Fund,
,,TUNGHAI,Tung Hai Knitting & Dyeing Limited,
,,FIRSTFIN,First Finance Limited,
,,POPULAR1MF,Popular Life First Mutual Fund,
,,FASFIN,FAS Finance & Investment Limited,
,,ICBIBANK,ICB Islamic Bank Limited,
,,FAMILYTEX,Familytex (BD) Limited,
,,PLFSL,Peoples Leasing and Fin. Services Ltd.,
,,EPGL,Energypac Power Generation PLC.,
,,SAVAREFR,Savar Refractories Limited,
,,BEXIMCO,Bangladesh Export Import Company Ltd.,
,,SAMATALETH,Samata Leather Complex Ltd.,
,,MPETROLEUM,Meghna Petroleum Limited,
,,BDSERVICE,Bangladesh Services Ltd.,
,,BDTHAI,Bd.Thai Aluminium Ltd.,
,,GOLDENSON,Golden Son Ltd.,
,,BEACHHATCH,Beach Hatchery Ltd.,
